Name,Year,Rating,Runtime,Votes
Refl3ct,2021,9.3,65.0,467.0
Comedy Couple,2020,7.7,117.0,1661.0
Afra Tafri,2021,,,
Dombivli Return,2019,4.9,129.0,46.0
Scorned,2020,2.5,104.0,25.0
The Lift Boy,2019,7.2,107.0,2375.0
Jabariya Jodi,2019,4.4,125.0,1317.0
Apne 2,2021,,,
Lupt,2018,5.6,110.0,2027.0
Ye mard bechara,2021,,,
Adaab Dawood Ibrahim Bol Raha Hoon,,,122.0,
Sab Kushal Mangal,2020,4.4,132.0,215.0
The Last Color,2019,7.9,90.0,778.0
Paltan,2018,5.3,150.0,939.0
Ek Villain Returns,2022,,,
Yamla Pagla Deewana Phir Se...,2018,4.5,145.0,1100.0
Out of Time,2021,,90.0,
Love Hostel,2021,,,
376 D,2020,5.7,128.0,252.0
Kotigobba 3,2021,,,
Dil Juunglee,2018,3.7,124.0,417.0
Angrezi Mein Kehte Hain,2018,6.8,104.0,1117.0
Jug Jugg Jeeyo,2021,,,
Raksha Bandhan,2021,,,
Malaal,2019,6.0,136.0,849.0
Captain Nawab,,,143.0,
Blank,2019,6.2,107.0,933.0
Crack,,,122.0,
Cheer Haran,2021,9.1,98.0,123.0
Bhediya,2022,,,
Liger,2021,,,
Tony: My Mentor the Serial Killer,2018,7.9,124.0,485.0
Atkan Chatkan,2020,8.2,126.0,1762.0
Silvat,2018,7.1,45.0,168.0
Rangeela Raja,2019,2.3,162.0,215.0
Innocent The Bhola,,,98.0,
Major,2021,,,
Krrish 4,,,,
Maassab (The Teacher),2018,8.7,116.0,154.0
Black Rose,2020,8.6,120.0,38.0
Khejdi,2018,8.1,92.0,27.0
Fraud Saiyyan,2019,4.3,109.0,677.0
Rosie: The Saffron Chapter,,,,
Roam Rome Mein,2019,7.8,107.0,50.0
Someone,2021,,160.0,
Mudda 370 J&K,2019,8.6,132.0,698.0
Satellite Shankar,2019,6.3,135.0,928.0
Happy Phirr Bhag Jayegi,2018,4.5,136.0,1251.0
NTR Kathanayakudu,2019,5.6,169.0,1864.0
Mitron,2018,6.9,119.0,2334.0
Rashna:The Ray of Light,,,150.0,
Hume Tumse Pyaar Kitna,2019,4.9,91.0,115.0
The Dark Side of Life: Mumbai City,2018,5.9,125.0,478.0
India Lockdown,2021,,,
Firrkie,,,,
Jack & Dil,2018,7.5,98.0,715.0
Court Martial,2020,6.8,120.0,179.0
Kissebaaz,2019,4.6,122.0,224.0
Tejas,,,,
Pal Pal Dil Ke Paas,2019,4.6,154.0,1032.0
#Homecoming,2021,,90.0,
Majjma,2021,8.1,106.0,24.0
Evening Shadows,2018,7.1,102.0,472.0
Maidaan,2021,,,
Scotland,2019,5.3,120.0,406.0
Goodbye,2022,,,
Shakeela,2020,3.2,126.0,528.0
Juliet's X-Tape,,,90.0,
Jai Mummy Di,2020,3.6,103.0,827.0
Chhota Bheem Kung Fu Dhamaka,2019,5.2,97.0,119.0
Dassehra,2018,3.8,131.0,316.0
Jhalki,2019,7.2,104.0,672.0
The Incomplete Man,2021,,,
Zamaanat: And Justice for All,2021,,,
Teen Aur Aadha,2018,6.6,121.0,228.0
Hope Aur Hum,2018,6.3,96.0,413.0
Pepper Chicken,2020,6.8,,281.0
Nikamma,2021,,,
Penalty,2019,5.5,128.0,783.0
Pranaam,2019,4.3,120.0,273.0
AA BB KK,2018,8.0,121.0,249.0
Yudhra,2022,,,
Noblemen,2018,5.8,108.0,221.0
Black Currency: The Fake Currency Truth Unfolds,,,,
Tom Dick and Harry Returns,2021,,,
Housefull 5,,,,
Khandaani Shafakhana,2019,4.0,136.0,1141.0
The Pickup Artist,2019,8.7,111.0,85.0
NCR: Chapter One,2021,7.8,65.0,20.0
Welcome to New York,2018,1.6,118.0,773.0
The Journey of Karma,2018,6.6,98.0,89.0
Alajh Palajh,2019,6.9,136.0,7.0
Aadhaar,2019,7.6,107.0,69.0
Doordarshan,2020,6.2,119.0,1335.0
Ghost,2019,5.0,130.0,1287.0
Fire in the Mountains,2021,6.8,84.0,26.0
What are the Odds?,2019,5.4,92.0,597.0
Maska,2020,5.8,111.0,1317.0
Reva,2018,8.4,159.0,692.0
Upstarts,2019,6.7,112.0,736.0
Operation Parindey,2020,4.7,60.0,349.0
Sangamithra,,,,
Abhinav Bindra Biopic,,,,
Jhootha Kahin Ka,2019,4.7,133.0,330.0
Black Rose,2021,5.0,,46.0
Hawa Singh,,,,
Moral Nights,2021,9.1,93.0,36.0
Badnaam Gali,2019,7.1,95.0,805.0
Vikrant Rona,2021,,,
Mushkil,2019,4.8,130.0,352.0
Kun Faya Kun,2021,,,
Kabza,2021,,,
Sharmaji Namkeen,2021,,,
Untitled Shakun Batra Film,2021,,,
Wishlist,2020,4.8,93.0,122.0
Mayday,2022,,141.0,
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,5.5,100.0,349.0
72 Hours: Martyr Who Never Died,2019,5.3,130.0,249.0
Praana,2019,8.3,107.0,793.0
San' 75 (Pachattar),2021,,123.0,
Jungle Cry,,,117.0,
Tera Mera Pyaar,,,,
Shikara,2020,3.8,118.0,6397.0
Perversion,2020,,60.0,
